,address,unit,beds,baths,built,rent,rentdate,encumbered,status,registered,slug
0,11605 WASHINGTON BLVD,D ,1,1.0,1954,2395.0,2023/02/06,NO,Rented,True,11605-washington-blvd
0,11605 WASHINGTON BLVD,A ,2,1.0,1954,2605.0,2023/02/06,NO,Rented,True,11605-washington-blvd
0,11605 WASHINGTON BLVD,B ,1,1.0,1954,2545.0,2023/02/06,NO,Rented,True,11605-washington-blvd
0,11605 WASHINGTON BLVD,C ,2,1.0,1954,2650.0,2023/02/06,NO,Rented,True,11605-washington-blvd
0,5634 CANTERBURY DR,5634 ,2,2.5,1984,4500.0,2023/02/04,NO,Vacant,True,5634-canterbury-dr
0,4069 VAN BUREN PL,4069 ,1,1.0,1949,1597.0,2023/02/02,NO,Rented,True,4069-van-buren-pl
0,4069 VAN BUREN PL,4071 ,1,1.0,1949,1700.0,2023/02/02,NO,Rented,True,4069-van-buren-pl
0,11003 CULVER BLVD,11003 ,1,1.0,1954,0.0,2023/02/02,NO,Vacant,True,11003-culver-blvd
0,4069 VAN BUREN PL,4073 ,1,1.0,1949,2163.0,2023/02/02,NO,Rented,True,4069-van-buren-pl
0,4116 CENTER ST,1 ,3,2.0,1950,2500.0,2023/02/02,NO,Rented,True,4116-center-st
0,5195 DAWES AVE,1 ,3,1.0,1951,4900.0,2023/02/02,NO,Rented,True,5195-dawes-ave
0,11003 CULVER BLVD,11007 ,2,2.0,1954,1700.0,2023/02/02,NO,Rented,True,11003-culver-blvd
0,11003 CULVER BLVD,11005 ,1,1.0,1954,1600.0,2023/02/02,NO,Rented,True,11003-culver-blvd
0,4174 LA SALLE AVE,2 ,3,2.0,1977,4017.0,2023/01/31,NO,Rented,True,4174-la-salle-ave
0,4174 LA SALLE AVE,1 ,3,2.0,1977,4800.0,2023/01/31,NO,Rented,True,4174-la-salle-ave
0,10982 CULVER BLVD,10986 ,2,1.0,1951,3000.0,2023/01/31,NO,Rented,True,10982-culver-blvd
0,10982 CULVER BLVD,10982 ,1,1.0,1951,2250.0,2023/01/31,NO,Rented,True,10982-culver-blvd
0,4140 BALDWIN AVE,B ,2,2.0,1964,4500.0,2023/01/27,NO,Rented,True,4140-baldwin-ave
0,4254 LA SALLE AVE,4256 ,3,1.0,1957,1275.0,2023/01/26,NO,Rented,True,4254-la-salle-ave
